% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct
33	6	18	3	0	0	26	0	1	1
149	2	1	1	0	28	2292	0	1	1
122	1	1	1	0	28	2292	0	1	1
38	1	1	1	0	0	41	0	1	1
38	1	2	2	0	0	41	0	1	1
38	2	3	1	0	0	41	0	1	1
38	2	4	2	0	0	41	0	1	1
112	1	1	1	0	28	2292	0	1	1
38	3	6	1	0	0	41	0	1	1
38	3	5	2	0	0	41	0	1	1
123	1	1	1	0	28	2292	0	1	1
38	4	7	1	0	0	41	0	1	1
221	1	1	1	0	28	2292	0	1	1
38	4	8	2	0	0	41	0	1	1
74	1	3	1	0	28	749	0	1	1
38	5	10	1	0	0	41	0	1	1
221	2	2	1	0	28	2292	0	1	1
124	1	1	1	0	28	2292	0	1	1
153	2	1	1	0	28	2292	0	1	1
74	1	1	2	0	28	749	0	1	1
38	5	9	2	0	0	41	0	1	1
113	1	1	1	0	28	2292	0	1	1
74	1	2	3	0	28	749	0	1	1
125	1	1	1	0	28	2292	0	1	1
114	1	1	1	0	28	2292	0	1	1
75	1	3	1	0	28	749	0	1	1
115	1	1	1	0	28	2292	0	1	1
126	1	1	1	0	28	2292	0	1	1
75	1	1	2	0	28	749	0	1	1
75	1	2	3	0	28	749	0	1	1
127	1	1	1	0	28	2292	0	1	1
116	1	1	1	0	28	2292	0	1	1
76	1	3	1	0	28	749	0	1	1
128	1	1	1	0	28	2292	0	1	1
76	1	1	2	0	28	749	0	1	1
167	2	1	1	0	28	2292	0	1	1
76	1	2	3	0	28	749	0	1	1
117	1	1	1	0	28	2292	0	1	1
129	1	1	1	0	28	2292	0	1	1
118	1	1	1	0	28	2292	0	1	1
39	1	1	1	0	6	153	0	1	1
130	1	1	1	0	28	2292	0	1	1
77	1	3	1	0	28320	1	1	1	0	28	2292	0	1	1
328	1	1	1	0	28	2292	0	1	1
179	1	3	1	0	28	749	0	1	1
179	1	1	2	0	28	749	0	1	1
179	1	2	3	0	28	749	0	1	1
329	1	1	1	0	28	2292	0	1	1
321	1	1	1	0	28	2292	0	1	1
66	1	1	1	0	6	153	0	1	1
50	1	1	1	0	28	749	0	1	1
50	1	2	2	0	28	749	0	1	1
66	1	2	2	0	4	105	0	1	1
50	1	3	3	0	28	749	0	1	1
66	2	3	1	0	6	153	0	1	1
66	2	4	2	0	4	105	0	1	1
330	1	1	1	0	28	2292	0	1	1
50	2	5	1	0	28	749	0	1	1
322	1	1	1	0	28	2292	0	1	1
50	2	4	2	0	28	749	0	1	1
66	3	6	1	0	4	105	0	1	1
50	2	6	3	0	28	749	0	1	1
180	1	3	1	0	28	749	0	1	1
66	3	5	2	0	8	209	0	1	1
180	1	1	2	0	28	749	0	1	1
50	3	8	1	0	28	749	0	1	1
180	1	2	3	0	28	749	0	1	1
66	4	7	1	0	6	153	0	1	1
50	3	7	2	0	28	749	0	1	1
66	4	8	2	0	6	153	0	1	1
50	3	9	3	0	28	749	0	1	1
66	5	10	1	0	6	153	0	1	1
50	4	12	1	0	28	749	0	1	1
331	1	1	1	0	28	2292	0	1	1
66	5	9	2	0	6	153	0	1	1
323	1	1	1	0	28	2292	0	1	1
50	4	11	2	0	28	749	0	1	1
50	4	10	3	0	28	749	0	1	1
50	5	13	1	0	28	749	0	1	1
50	5	14	2	0	28	749	0	1	1
50	5	15	3	0	28	749	0	1	1
332	1	1	1	0	28	2292	0	1	1
50	6	16	1	0	28	749	0	1	1
324	1	1	1	0	28	2292	0	1	1
50	6	17	2	0	28	749	0	1	1
181	1	3	1	0	28	749	0	1	1
181	1	1	2	0	28	749	0	1	1
50	6	18	3	0	28	749	0	1	1
181	1	2	3	0	28	749	0	1	1
333	1	1	1	0	28	2292	0	1	1
325	1	1	1	0	28	2292	0	1	1
334	1	1	1	0	28	2292	0	1	1
182	1	3	1	0	28	749	0	1	1
182	1	1	2	0	28	749	0	1	1
326	1	1	1	0	28	2292	0	1	1
182	1	2	3	0	28	749	0	1	1
335	1	1	1	0	28	2292	0	1	1
327	1	1	1	0	28	2292	0	1	1
336	1	1	1	0	28	2292	0	1	1
183	1	3	1	0	28	749	0	1	1
183	1	1	2	0	28	749	0	1	1
328	1	1	1	0	28	2292	0	1	1
183	1	2	3	0	28	749	0	1	1
337	1	1	1	0	28	2292	0	1	1
329	1	1	1	0	28	2292	0	1	1
338	1	1	1	0	28	2292	0	1	1
67	1	1	1	0	6	153	0	1	1
67	1	2	2	0	4	105	0	1	1
67	2	3	1	0	6	153	0	1	1
67	2	4	2	0	4	105	0	1	1
330	1	1	1	0	28	2292	0	1	1
184	1	3	1	0	28	749	0	1	1
184	1	1	2	0	28	749	0	1	1
67	3	6	1	0	4	105	0	1	1
184	1	2	3	0	28	749	0	1	1
67	3	5	2	0	8	209	0	1	1
339	1	1	1	0	28	2292	0	1	1
67	4	7	1	0	6	153	0	1	1
67	4	8	2	0	6	153	0	1	1
67	5	10	1	0	6	153	0	1	1
67	5	9	2	0	6	153	0	1	1
331	1	1	1	0	28	2292	0	1	1
340	1	1	1	0	28	2292	0	1	1
185	1	3	1	0	28	749	0	1	1
185	1	1	2	0	28	749	0	1	1
185	1	2	3	0	28	749	0	1	1
332	1	1	1	0	28	2292	0	1	1
333	1	1	1	0	28	2292	0	1	1
341	1	1	1	0	28	2292	0	1	1
342	1	1	1	0	28	2292	0	1	1
186	1	3	1	0	28	749	0	1	1
51	1	1	1	0	28	749	0	1	1
186	1	1	2	0	28	749	0	1	1
334	1	1	1	0	28	2292	0	1	1
51	1	2	2	0	28	749	0	1	1
186	1	2	3	0	28	749	0	1	1
51	1	3	3	0	28	749	0	1	1
343	1	1	1	0	28	2292	0	1	1
51	2	5	1	0	28	749	0	1	1
51	2	4	2	0	28	749	0	1	1
51	2	6	3	0	28	749	0	1	1
51	3	8	1	0	28	749	0	1	1
335	1	1	1	0	28	2292	0	1	1
51	3	7	2	0	28	749	0	1	1
51	3	9	3	0	28	749	0	1	1
344	1	1	1	0	28	2292	0	1	1
51	4	12	1	0	28	749	0	1	1
51	4	11	2	0	28	749	0	1	1
51	4	10	3	0	28	749	0	1	1
187	1	3	1	0	28	749	0	1	1
51	5	13	1	0	28	749	0	1	1
187	1	1	2	0	28	749	0	1	1
336	1	1	1	0	28	2292	0	1	1
187	1	2	3	0	28	749	0	1	1
51	5	14	2	0	28	749	0	1	1
51	5	15	3	0	28	749	0	1	1
345	1	1	1	0	28	2292	0	1	1
51	6	16	1	0	28	749	0	1	1
51	6	17	2	0	28	749	0	1	1
51	6	18	3	0	28	749	0	1	1
337	1	1	1	0	28	2292	0	1	1
68	1	1	1	0	6	153	0	1	1
346	1	1	1	0	28	2292	0	1	1
68	1	2	2	0	4	105	0	1	1
68	2	3	1	0	6	153	0	1	1
188	1	3	1	0	28	749	0	1	1
68	2	4	2	0	4	105	0	1	1
188	1	1	2	0	28	749	0	1	1
188	1	2	3	0	28	749	0	1	1
68	3	6	1	0	4	105	0	1	1
68	3	5	2	0	8	209	0	1	1
68	4	7	1	0	6	153	0	1	1
68	4	8	2	0	6	153	0	1	1
338	1	1	1	0	28	2292	0	1	1
347	1	1	1	0	28	2292	0	1	1
68	5	10	1	0	6	153	0	1	1
68	5	9	2	0	6	153	0	1	1
348	1	1	1	0	28	2292	0	1	1
339	1	1	1	0	28	2292	0	1	1
189	1	3	1	0	28	749	0	1	1
189	1	1	2	0	28	749	0	1	1
189	1	2	3	0	28	749	0	1	1
821	1	1	1	0	28	2292	0	1	1
821	2	2	1	0	28	2292	0	1	1
340	1	1	1	0	28	2292	0	1	1
349	1	1	1	0	28	2292	0	1	1
190	1	3	1	0	28	749	0	1	1
350	1	1	1	0	28	2292	0	1	1
190	1	1	2	0	28	749	0	1	1
190	1	2	3	0	28	749	0	1	1
341	1	1	1	0	28	2292	0	1	1
351	1	1	1	0	28	2292	0	1	1
342	1	1	1	0	28	2292	0	1	1
352	1	1	1	0	28	2292	0	1	1
191	1	3	1	0	28	749	0	1	1
191	1	1	2	0	28	749	0	1	1
191	1	2	3	0	28	749	0	1	1
343	1	1	1	0	28	2292	0	1	1
353	1	1	1	0	28	2292	0	1	1
344	1	1	1	0	28	2292	0	1	1
69	1	1	1	0	6	153	0	1	1
354	1	1	1	0	28	2292	0	1	1
192	1	3	1	0	28	749	0	1	1
69	1	2	2	0	4	105	0	1	1
192	1	1	2	0	28	749	0	1	1
192	1	2	3	0	28	749	0	1	1
69	2	3	1	0	6	153	0	1	1
69	2	4	2	0	4	105	0	1	1
69	3	6	1	0	4	105	0	1	1
52	1	1	1	0	28	749	0	1	1
69	3	5	2	0	8	209	0	1	1
52	1	2	2	0	28	749	0	1	1
345	1	1	1	0	28	2292	0	1	1
355	1	1	1	0	28	2292	0	1	1
52	1	3	3	0	28	749	0	1	1
69	4	7	1	0	6	153	0	1	1
69	4	8	2	0	6	153	0	1	1
52	2	5	1	0	28	749	0	1	1
52	2	4	2	0	28	749	0	1	1
69	5	10	1	0	6	153	0	1	1
52	2	6	3	0	28	749	0	1	1
69	5	9	2	0	6	153	0	1	1
52	3	8	1	0	28	749	0	1	1
346	1	1	1	0	28	2292	0	1	1
52	3	7	2	0	28	749	0	1	1
356	1	1	1	0	28	2292	0	1	1
52	3	9	3	0	28	749	0	1	1
193	1	3	1	0	28	749	0	1	1
193	1	1	2	0	28	749	0	1	1
52	4	12	1	0	28	749	0	1	1
193	1	2	3	0	28	749	0	1	1
52	4	11	2	0	28	749	0	1	1
52	4	10	3	0	28	749	0	1	1
347	1	1	1	0	28	2292	0	1	1
52	5	13	1	0	28	749	0	1	1
52	5	14	2	0	28	749	0	1	1
357	1	1	1	0	28	2292	0	1	1
52	5	15	3	0	28	749	0	1	1
52	6	16	1	0	28	749	0	1	1
52	6	17	2	0	28	749	0	1	1
348	1	1	1	0	28	2292	0	1	1
52	6	18	3	0	28	749	0	1	1
358	1	1	1	0	28	2292	0	1	1
194	1	3	1	0	28	749	0	1	1
194	1	1	2	0	28	749	0	1	1
194	1	2	3	0	28	749	0	1	1
349	1	1	1	0	28	2292	0	1	1
359	1	1	1	0	28	2292	0	1	1
350	1	1	1	0	28	2292	0	1	1
360	1	1	1	0	28	2292	0	1	1
195	1	3	1	0	28	749	0	1	1
195	1	1	2	0	28	749	0	1	1
195	1	2	3	0	28	749	0	1	1
351	1	1	1	0	28	2292	0	1	1
361	1	1	1	0	28	2292	0	1	1
70	1	1	1	0	6	153	0	1	1
70	1	2	2	0	4	105	0	1	1
352	1	1	1	0	28	2292	0	1	1
70	2	3	1	0	6	153	0	1	1
362	1	1	1	0	28	2292	0	1	1
196	1	3	1	0	28	749	0	1	1
70	2	4	2	0	4	105	0	1	1
196	1	1	2	0	28	749	0	1	1
196	1	2	3	0	28	749	0	1	1
70	3	6	1	0	4	105	0	1	1
70	3	5	2	0	8	209	0	1	1
353	1	1	1	0	28	2292	0	1	1
70	4	7	1	0	6	153	0	1	1
70	4	8	2	0	6	153	0	1	1
70	5	10	1	0	6	153	0	1	1
70	5	9	2	0	6	153	0	1	1
363	1	1	1	0	28	2292	0	1	1
354	1	1	1	0	28	2292	0	1	1
197	1	3	1	0	28	749	0	1	1
197	1	1	2	0	28	749	0	1	1
364	1	1	1	0	28	2292	0	1	1
197	1	2	3	0	28	749	0	1	1
355	1	1	1	0	28	2292	0	1	1
365	1	1	1	0	28	2292	0	1	1
356	1	1	1	0	28	2292	0	1	1
366	1	1	1	0	28	2292	0	1	1
198	1	3	1	0	28	749	0	1	1
198	1	1	2	0	28	749	0	1	1
198	1	2	3	0	28	749	0	1	1
357	1	1	1	0	28	2292	0	1	1
367	1	1	1	0	28	2292	0	1	1
358	1	1	1	0	28	2292	0	1	1
368	1	1	1	0	28	2292	0	1	1
53	1	1	1	0	28	749	0	1	1
199	1	3	1	0	28	749	0	1	1
199	1	1	2	0	28	749	0	1	1
199	1	2	3	0	28	749	0	1	1
53	1	2	2	0	28	749	0	1	1
359	1	1	1	0	28	2292	0	1	1
53	1	3	3	0	28	749	0	1	1
369	1	1	1	0	28	2292	0	1	1
53	2	5	1	0	28	749	0	1	1
53	2	4	2	0	28	749	0	1	1
53	2	6	3	0	28	749	0	1	1
53	3	8	1	0	28	749	0	1	1
53	3	7	2	0	28	749	0	1	1
53	3	9	3	0	28	749	0	1	1
360	1	1	1	0	28	2292	0	1	1
370	1	1	1	0	28	2292	0	1	1
53	4	12	1	0	28	749	0	1	1
53	4	11	2	0	28	749	0	1	1
53	4	10	3	0	28	749	0	1	1
53	5	13	1	0	28	749	0	1	1
53	5	14	2	0	28	749	0	1	1
53	5	15	3	0	28	749	0	1	1
71	1	1	1	0	6	153	0	1	1
71	1	2	2	0	4	105	0	1	1
53	6	16	1	0	28	749	0	1	1
71	2	3	1	0	6	153	0	1	1
200	1	3	1	0	28	749	0	1	1
200	1	1	2	0	28	749	0	1	1
200	1	2	3	0	28	749	0	1	1
53	6	17	2	0	28	749	0	1	1
71	2	4	2	0	4	105	0	1	1
53	6	18	3	0	28	749	0	1	1
371	1	1	1	0	28	2292	0	1	1
71	3	6	1	0	4	105	0	1	1
361	1	1	1	0	28	2292	0	1	1
71	3	5	2	0	8	209	0	1	1
71	4	7	1	0	6	153	0	1	1
71	4	8	2	0	6	153	0	1	1
372	1	1	1	0	28	2292	0	1	1
71	5	10	1	0	6	153	0	1	1
71	5	9	2	0	6	153	0	1	1
362	1	1	1	0	28	2292	0	1	1
201	1	3	1	0	28	749	0	1	1
201	1	1	2	0	28	749	0	1	1
201	1	2	3	0	28	749	0	1	1
363	1	1	1	0	28	2292	0	1	1
373	1	1	1	0	28	2292	0	1	1
364	1	1	1	0	28	2292	0	1	1
374	1	1	1	0	28	2292	0	1	1
202	1	3	1	0	28	749	0	1	1
202	1	1	2	0	28	749	0	1	1
202	1	2	3	0	28	749	0	1	1
365	1	1	1	0	28	2292	0	1	1
375	1	1	1	0	28	2292	0	1	1
376	1	1	1	0	28	2292	0	1	1
366	1	1	1	0	28	2292	0	1	1
203	1	3	1	0	28	749	0	1	1
203	1	1	2	0	28	749	0	1	1
203	1	2	3	0	28	749	0	1	1
367	1	1	1	0	28	2292	0	1	1
377	1	1	1	0	28	2292	0	1	1
72	1	1	1	0	6	153	0	1	1
72	1	2	2	0	4	105	0	1	1
72	2	3	1	0	6	153	0	1	1
204	1	3	1	0	28	749	0	1	1
72	2	4	2	0	4	105	0	1	1
204	1	1	2	0	28	749	0	1	1
368	1	1	1	0	28	2292	0	1	1
204	1	2	3	0	28	749	0	1	1
72	3	6	1	0	4	105	0	1	1
378	1	1	1	0	28	2292	0	1	1
72	3	5	2	0	8	209	0	1	1
72	4	7	1	0	6	153	0	1	1
72	4	8	2	0	6	153	0	1	1
72	5	10	1	0	6	153	0	1	1
379	1	1	1	0	28	2292	0	1	1
72	5	9	2	0	6	153	0	1	1
369	1	1	1	0	28	2292	0	1	1
380	1	1	1	0	28	2292	0	1	1
205	1	3	1	0	28	749	0	1	1
54	1	1	1	0	28	749	0	1	1
205	1	1	2	0	28	749	0	1	1
370	1	1	1	0	28	2292	0	1	1
54	1	2	2	0	28	749	0	1	1
205	1	2
