% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2
0.098	1	1	10	9	1	28	2196	0	0
0.087	1	1	9	8	1	28	2196	0	0
0.169	1	1	17	10	1	28	2196	0	0
0.096	1	1	10	7	1	28	2196	0	0
0.061	1	1	7	2	2	28	2196	0	0
0.088	1	1	9	9	1	28	2196	0	0
0.032	1	3	4	3	3	28	2196	0	0
0.169	2	2	17	10	1	26	1836	0	0
0.051	1	18	6	2	2	12	597	0	0
0.17	1	1	18	1	1	28	2196	0	0
0.032	2	6	4	3	3	28	2196	0	0
0.097	1	1	10	8	1	28	2196	0	0
0.051	2	15	6	2	1	12	597	0	0
0.101	1	1	11	2	1	28	2196	0	0
0.089	1	1	9	10	1	28	2196	0	0
0.17	2	2	18	1	1	26	1836	0	0
0.051	3	17	6	2	1	18	967	0	0
0.171	1	1	18	2	1	28	2196	0	0
0.032	3	9	4	3	3	28	2196	0	0
0.051	4	5	6	2	2	16	903	0	0
0.171	2	2	18	2	1	26	1836	0	0
0.098	1	1	10	9	1	28	2196	0	0
0.09	1	1	10	1	1	28	2196	0	0
0.051	6	23	6	2	2	18	967	0	0
0.032	4	10	4	3	3	28	2196	0	0
0.062	1	2	7	3	3	28	2196	0	0
0.172	1	1	18	3	1	28	2196	0	0
0.172	2	2	18	3	1	26	1836	0	0
0.051	7	9	6	2	2	2	133	0	0
0.032	5	15	4	3	3	28	2196	0	0
0.173	1	1	18	4	1	28	2196	0	0
0.099	1	1	10	10	1	28	2196	0	0
0.106	2	1	11	7	1	0	81	0	0
0.173	2	2	18	4	1	26	1836	0	0
0.091	1	1	10	2	1	28	2196	0	0
0.051	8	20	6	2	1	0	81	0	0
0.107	2	1	11	8	1	0	81	0	0
0.032	6	18	4	3	3	28	2196	0	0
0.051	9	6	6	2	1	2	133	0	0
0.174	1	1	18	5	1	28	2196	0	0
0.1	1	1	11	1	1	28	2196	0	0
0.174	2	2	18	5	1	26	1836	0	0
0.051	10	1	6	2	1	8	421	0	0
0.108	2	1	11	9	1	0	81	0	0
0.063	1	3	7	4	1	28	2196	0	0
0.092	1	1	10	3	1	28	2196	0	0
0.175	1	1	18	6	1	28	2196	0	0
0.051	11	2	6	2	1	16	903	0	0
0.051	12	3	6	2	1	8	421	0	0
0.109	2	1	11	10	1	0	81	0	0
0.175	2	2	18	6	1	26	1836	0	0
0.036	1	1	4	7	1	28	2196	0	0
0.051	13	4	6	2	1	2	133	0	0
0.101	1	1	11	2	1	28	2196	0	0
0.11	2	1	12	1	1	28	2196	0	0
0.176	1	1	18	7	1	28	2196	0	0
0.036	2	3	4	7	1	28	2196	0	0
0.102	1	1	11	3	1	28	2196	0	0
0.093	1	1	10	4	1	28	2196	0	0
0.036	3	6	4	7	1	28	2196	0	0
0.176	2	2	18	7	1	26	1836	0	0
0.036	4	7	4	7	1	28	2196	0	0
0.177	1	1	18	8	1	28	2196	0	0
0.064	1	1	7	5	2	28	2196	0	0
0.103	1	1	11	4	1	28	2196	0	0
0.177	2	2	18	8	1	26	1836	0	0
0.036	5	10	4	7	1	28	2196	0	0
0.052	1	22	6	3	1	10	469	0	0
0.094	1	1	10	5	1	28	2196	0	0
0.178	1	1	18	9	1	28	2196	0	0
0.052	2	15	6	3	1	12	597	0	0
0.178	2	2	18	9	1	26	1836	0	0
0.104	1	1	11	5	1	28	2196	0	0
0.052	3	17	6	3	1	18	967	0	0
0.179	1	1	18	10	1	28	2196	0	0
0.095	1	1	10	6	1	28	2196	0	0
0.116	2	1	12	7	1	28	2196	0	0
0.179	2	2	18	10	1	26	1836	0	0
0.052	4	19	6	3	1	14	775	0	0
0.052	6	7	6	3	1	8	421	0	0
0.065	1	2	7	6	3	28	2196	0	0
0.105	1	1	11	6	1	28	2196	0	0
0.18	1	1	19	1	1	28	2196	0	0
0.052	7	10	6	3	3	8	421	0	0
0.18	2	2	19	1	1	26	1836	0	0
0.181	1	1	19	2	1	28	2196	0	0
0.052	8	20	6	3	1	0	81	0	0
0.181	2	2	19	2	1	26	1836	0	0
0.052	9	6	6	3	1	2	133	0	0
0.052	10	1	6	3	1	8	421	0	0
0.182	1	1	19	3	1	28	2196	0	0
0.096	1	1	10	7	1	28	2196	0	0
0.052	11	2	6	3	1	16	903	0	0
0.182	2	2	19	3	1	26	1836	0	0
0.106	1	1	11	7	1	28	2196	0	0
0.118	2	1	12	9	1	28	2196	0	0
0.183	1	1	19	4	1	28	2196	0	0
0.052	12	3	6	3	1	8	421	0	0
0.066	1	3	7	7	1	28	2196	0	0
0.183	2	2	19	4	1	26	1836	0	0
0.052	13	4	6	3	1	2	133	0	0
0.184	1	1	19	5	1	28	2196	0	0
0.119	2	1	12	10	1	28	2196	0	0
0.097	1	1	10	8	1	28	2196	0	0
0.184	2	2	19	5	1	26	1836	0	0
0.107	1	1	11	8	1	28	2196	0	0
0.185	1	1	19	6	1	28	2196	0	0
0.185	2	2	19	6	1	26	1836	0	0
0.186	1	1	19	7	1	28	2196	0	0
0.037	1	1	4	8	1	12	597	0	0
0.098	1	1	10	9	1	28	2196	0	0
0.108	1	1	11	9	1	28	2196	0	0
0.186	2	2	19	7	1	26	1836	0	0
0.067	1	1	7	8	2	28	2196	0	0
0.037	2	4	4	8	2	14	775	0	0
0.187	1	1	19	8	1	28	2196	0	0
0.187	2	2	19	8	1	26	1836	0	0
0.099	1	1	10	10	1	28	2196	0	0
0.037	3	6	4	8	1	14	775	0	0
0.109	1	1	11	10	1	28	2196	0	0
0.053	1	18	6	4	2	12	597	0	0
0.188	1	1	19	9	1	28	2196	0	0
0.053	2	15	6	4	1	12	597	0	0
0.037	4	7	4	8	1	12	597	0	0
0.188	2	2	19	9	1	26	1836	0	0
0.1	1	1	11	1	1	28	2196	0	0
0.053	3	17	6	4	1	18	967	0	0
0.189	1	1	19	10	1	28	2196	0	0
0.11	1	1	12	1	1	28	2196	0	0
0.189	2	2	19	10	1	26	1836	0	0
0.037	5	9	4	8	2	10	469	0	0
0.033	1	1	4	4	1	28	2196	0	0
0.068	1	2	7	9	3	28	2196	0	0
0.053	4	5	6	4	2	16	903	0	0
0.053	6	23	6	4	2	18	967	0	0
0.19	1	1	20	1	1	28	2196	0	0
0.101	1	1	11	2	1	28	2196	0	0
0.033	2	5	4	4	1	28	2196	0	0
0.19	2	2	20	1	1	26	1836	0	0
0.111	1	1	12	2	1	28	2196	0	0
0.053	7	9	6	4	2	2	133	0	0
0.191	1	1	20	2	1	28	2196	0	0
0.033	3	8	4	4	1	28	2196	0	0
0.053	8	20	6	4	1	0	81	0	0
0.191	2	2	20	2	1	26	1836	0	0
0.102	1	1	11	3	1	28	2196	0	0
0.053	9	6	6	4	1	2	133	0	0
0.126	2	1	13	7	1	28	2196	0	0
0.112	1	1	12	3	1	28	2196	0	0
0.033	4	12	4	4	1	28	2196	0	0
0.053	10	1	6	4	1	8	421	0	0
0.069	1	3	7	10	1	28	2196	0	0
0.192	1	1	20	3	1	28	2196	0	0
0.053	11	2	6	4	1	16	903	0	0
0.113	1	1	12	4	1	28	2196	0	0
0.192	2	2	20	3	1	26	1836	0	0
0.103	1	1	11	4	1	28	2196	0	0
0.033	5	13	4	4	1	28	2196	0	0
0.053	12	3	6	4	1	8	421	0	0
0.193	1	1	20	4	1	28	2196	0	0
0.053	13	4	6	4	1	2	133	0	0
0.033	6	16	4	4	1	28	2196	0	0
0.193	2	2	20	4	1	26	1836	0	0
0.10.398	1	1	40	9	1	28	2196	0	0
0.074	10	1	8	5	1	8	421	0	0
0.398	2	2	40	9	1	26	1836	0	0
0.044	4	10	5	5	3	28	2196	0	0
0.074	11	2	8	5	1	16	903	0	0
0.25	1	1	26	1	1	28	2196	0	0
0.056	1	2	6	7	2	12	597	0	0
0.399	1	1	40	10	1	28	2196	0	0
0.242	1	1	25	3	1	28	2196	0	0
0.14	1	2	15	1	3	28	2196	0	0
0.399	2	2	40	10	1	26	1836	0	0
0.074	12	3	8	5	1	8	421	0	0
0.056	2	3	6	7	1	8	421	0	0
0.044	5	15	5	5	3	28	2196	0	0
0.074	13	4	8	5	1	2	133	0	0
0.4	1	1	41	1	1	28	2196	0	0
0.056	3	5	6	7	2	8	421	0	0
0.251	1	1	26	2	1	28	2196	0	0
0.4	2	2	41	1	1	26	1836	0	0
0.243	1	1	25	4	1	28	2196	0	0
0.044	6	18	5	5	3	28	2196	0	0
0.056	4	8	6	7	2	8	421	0	0
0.401	1	1	41	2	1	28	2196	0	0
0.401	2	2	41	2	1	26	1836	0	0
0.056	5	9	6	7	2	10	469	0	0
0.252	1	1	26	3	1	28	2196	0	0
0.141	1	3	15	2	1	28	2196	0	0
0.244	1	1	25	5	1	28	2196	0	0
0.075	1	18	8	6	2	12	597	0	0
0.402	1	1	41	3	1	28	2196	0	0
0.075	2	15	8	6	1	12	597	0	0
0.402	2	2	41	3	1	26	1836	0	0
0.253	1	1	26	4	1	28	2196	0	0
0.403	1	1	41	4	1	28	2196	0	0
0.075	3	16	8	6	2	2	133	0	0
0.245	1	1	25	6	1	28	2196	0	0
0.403	2	2	41	4	1	26	1836	0	0
0.075	4	19	8	6	1	14	775	0	0
0.075	6	13	8	6	3	8	421	0	0
0.404	1	1	41	5	1	28	2196	0	0
0.254	1	1	26	5	1	28	2196	0	0
0.075	7	9	8	6	2	2	133	0	0
0.142	1	1	15	3	2	28	2196	0	0
0.404	2	2	41	5	1	26	1836	0	0
0.246	1	1	25	7	1	28	2196	0	0
0.405	1	1	41	6	1	28	2196	0	0
0.075	8	20	8	6	1	0	81	0	0
0.405	2	2	41	6	1	26	1836	0	0
0.255	1	1	26	6	1	28	2196	0	0
0.247	1	1	25	8	1	28	2196	0	0
0.075	9	6	8	6	1	2	133	0	0
0.406	1	1	41	7	1	28	2196	0	0
0.075	10	1	8	6	1	8	421	0	0
0.406	2	2	41	7	1	26	1836	0	0
0.075	11	2	8	6	1	16	903	0	0
0.407	1	1	41	8	1	28	2196	0	0
0.075	12	3	8	6	1	8	421	0	0
0.256	1	1	26	7	1	28	2196	0	0
0.407	2	2	41	8	1	26	1836	0	0
0.143	1	2	15	4	3	28	2196	0	0
0.075	13	4	8	6	1	2	133	0	0
0.248	1	1	25	9	1	28	2196	0	0
0.408	1	1	41	9	1	28	2196	0	0
0.408	2	2	41	9	1	26	1836	0	0
0.257	1	1	26	8	1	28	2196	0	0
0.409	1	1	41	10	1	28	2196	0	0
0.249	1	1	25	10	1	28	2196	0	0
0.057	1	1	6	8	1	12	597	0	0
0.409	2	2	41	10	1	26	1836	0	0
0.057	2	4	6	8	2	14	775	0	0
0.144	1	3	15	5	1	28	2196	0	0
0.41	1	1	42	1	1	28	2196	0	0
0.057	3	6	6	8	1	14	775	0	0
0.258	1	1	26	9	1	28	2196	0	0
0.41	2	2	42	1	1	26	1836	0	0
0.076	1	22	8	7	1	10	469	0	0
0.057	4	7	6	8	1	12	597	0	0
0.411	1	1	42	2	1	28	2196	0	0
0.076	2	14	8	7	2	4	217	0	0
0.25	1	1	26	1	1	28	2196	0	0
0.411	2	2	42	2	1	26	1836	0	0
0.057	5	10	6	8	1	8	421	0	0
0.259	1	1	26	10	1	28	2196	0	0
0.076	3	17	8	7	1	18	967	0	0
0.412	1	1	42	3	1	28	2196	0	0
0.145	1	1	15	6	2	28	2196	0	0
0.412	2	2	42	3	1	26	1836	0	0
0.076	4	5	8	7	2	16	903	0	0
0.251	1	1	26	2	1	28	2196	0	0
0.076	6	23	8	7	2	18	967	0	0
0.413	1	1	42	4	1	28	2196	0	0
0.26	1	1	27	1	1	28	2196	0	0
0.045	1	1	5	6	1	28	2196	0	0
0.413	2	2	42	4	1	26	1836	0	0
0.076	7	11	8	7	1	8	421	0	0
0.414	1	1	42	5	1	28	2196	0	0
0.045	2	5	5	6	1	28	2196	0	0
0.252	1	1	26	3	1	28	2196	0	0
0.076	8	20	8	7	1	0	81	0	0
0.414	2	2	42	5	1	26	1836	0	0
0.261	1	1	27	2	1	28	2196	0	0
0.076	9	21	8	7	2	0	81	0	0
0.415	1	1	42	6	1	28	2196	0	0
0.045	3	8	5	6	1	28	2196	0	0
0.415	2	2	42	6	1	26	1836	0	0
0.076	10	1	8	7	1	8	421	0	0
0.146	1	2	15	7	3	28	2196	0	0
0.076	11	2	8	7	1	16	903	0	0
0.416	1	1	42	7	1	28	2196	0	0
0.253	1	1	26	4	1	28	2196	0	0
0.045	4	12	5	6	1	28	2196	0	0
0.076	12	3	8	7	1	8	421	0	0
0.416	2	2	42	7	1	26	1836	0	0
0.262	1	1	27	3	1	28	2196	0	0
0.076	13	4	8	7	1	2	133	0	0
0.417	1	1	42	8	1	28	2196	0	0
0.045	5	13	5	6	1	28	2196	0	0
0.417	2	2	42	8	1	26	1836	0	0
0.254	1	1	26	5	1	28	2196	0	0
0.418	1	1	42	9	1	28	2196	0	0
0.045	6	16	5	6	1	28	2196	0	0
0.263	1	1	27	4	1	28	2196	0	0
0.418	2	2	42	9	1	26	1836	0	0
0.147	1	3	15	8	1	28	2196	0	0
0.419	1	1	42	10	1	28	2196	0	0
0.255	1	1	26	6	1	28	2196	0	0
0.419	2	2	42	10	1	26	1836	0	0
0.264	1	1	27	5	1	28	2196	0	0
0.42	1	1	43	1	1	28	2196	0	0
0.256	1	1	26	7	1	28	2196	0	0
0.42	2	2	43	1	1	26	1836	0	0
0.058	1	2	6	9	2	12	597	0	0
0.077	1	18	8	8	2	12	597	0	0
0.265	1	1	27	6	1	28	2196	0	0
0.421	1	1	43	2	1	28	2196	0	0
0.148	1	1	15	9	2	28	2196	0	0
0.421	2	2	43	2	1	26	1836	0	0
0.077	2	15	8	8	1	12	597	0	0
0.058	2	3	6	9	1	8	421	0	0
0.257	1	1	26	8	1	28	2196	0	0
0.422	1	1	43	3	1	28	2196	0	0
0.077	3	17	8	8	1	18	967	0	0
0.422	2	2	43	3	1	26	1836	0	0
0.266	1	1	27	7	1	28	2196	0	0
0.058	3	5	0.085	8	20	9	6	1	0	81	0	0
0.085	9	6	9	6	1	2	133	0	0
0.329	1	1	33	10	1	28	2196	0	0
0.321	1	1	33	2	1	28	2196	0	0
0.085	10	1	9	6	1	8	421	0	0
0.085	11	2	9	6	1	16	903	0	0
0.18	1	3	19	1	1	28	2196	0	0
0.085	12	3	9	6	1	8	421	0	0
0.085	13	4	9	6	1	2	133	0	0
0.33	1	1	34	1	1	28	2196	0	0
0.322	1	1	33	3	1	28	2196	0	0
0.331	1	1	34	2	1	28	2196	0	0
0.323	1	1	33	4	1	28	2196	0	0
0.181	1	1	19	2	2	28	2196	0	0
0.332	1	1	34	3	1	28	2196	0	0
0.324	1	1	33	5	1	28	2196	0	0
0.067	1	1	7	8	1	12	597	0	0
0.333	1	1	34	4	1	28	2196	0	0
0.325	1	1	33	6	1	28	2196	0	0
0.067	2	4	7	8	2	14	775	0	0
0.182	1	2	19	3	3	28	2196	0	0
0.067	3	6	7	8	1	14	775	0	0
0.326	1	1	33	7	1	28	2196	0	0
0.334	1	1	34	5	1	28	2196	0	0
0.086	1	22	9	7	1	10	469	0	0
0.051	1	1	6	2	1	28	2196	0	0
0.067	4	7	7	8	1	12	597	0	0
0.086	2	15	9	7	1	12	597	0	0
0.335	1	1	34	6	1	28	2196	0	0
0.051	2	5	6	2	1	28	2196	0	0
0.067	5	9	7	8	2	10	469	0	0
0.086	3	16	9	7	2	2	133	0	0
0.327	1	1	33	8	1	28	2196	0	0
0.183	1	3	19	4	1	28	2196	0	0
0.086	4	5	9	7	2	16	903	0	0
0.051	3	8	6	2	1	28	2196	0	0
0.336	1	1	34	7	1	28	2196	0	0
0.086	6	7	9	7	1	8	421	0	0
0.328	1	1	33	9	1	28	2196	0	0
0.051	4	12	6	2	1	28	2196	0	0
0.086	7	9	9	7	2	2	133	0	0
0.086	8	20	9	7	1	0	81	0	0
0.337	1	1	34	8	1	28	2196	0	0
0.329	1	1	33	10	1	28	2196	0	0
0.086	9	21	9	7	2	0	81	0	0
0.086	10	1	9	7	1	8	421	0	0
0.051	5	13	6	2	1	28	2196	0	0
0.184	1	1	19	5	2	28	2196	0	0
0.086	11	2	9	7	1	16	903	0	0
0.338	1	1	34	9	1	28	2196	0	0
0.086	12	3	9	7	1	8	421	0	0
0.051	6	16	6	2	1	28	2196	0	0
0.33	1	1	34	1	1	28	2196	0	0
0.086	13	4	9	7	1	2	133	0	0
0.339	1	1	34	10	1	28	2196	0	0
0.331	1	1	34	2	1	28	2196	0	0
0.185	1	2	19	6	3	28	2196	0	0
0.34	1	1	35	1	1	28	2196	0	0
0.087	1	18	9	8	2	12	597	0	0
0.087	2	14	9	8	2	4	217	0	0
0.332	1	1	34	3	1	28	2196	0	0
0.068	1	2	7	9	2	12	597	0	0
0.341	1	1	35	2	1	28	2196	0	0
0.087	3	17	9	8	1	18	967	0	0
0.333	1	1	34	4	1	28	2196	0	0
0.186	1	3	19	7	1	28	2196	0	0
0.068	2	3	7	9	1	8	421	0	0
0.087	4	19	9	8	1	14	775	0	0
0.334	1	1	34	5	1	28	2196	0	0
0.342	1	1	35	3	1	28	2196	0	0
0.068	3	5	7	9	2	8	421	0	0
0.087	6	23	9	8	2	18	967	0	0
0.068	4	8	7	9	2	8	421	0	0
0.343	1	1	35	4	1	28	2196	0	0
0.068	5	10	7	9	1	8	421	0	0
0.335	1	1	34	6	1	28	2196	0	0
0.087	7	11	9	8	1	8	421	0	0
0.187	1	1	19	8	2	28	2196	0	0
0.344	1	1	35	5	1	28	2196	0	0
0.087	8	20	9	8	1	0	81	0	0
0.087	9	21	9	8	2	0	81	0	0
0.336	1	1	34	7	1	28	2196	0	0
0.345	1	1	35	6	1	28	2196	0	0
0.087	10	1	9	8	1	8	421	0	0
0.087	11	2	9	8	1	16	903	0	0
0.188	1	2	19	9	3	28	2196	0	0
0.337	1	1	34	8	1	28	2196	0	0
0.087	12	3	9	8	1	8	421	0	0
0.346	1	1	35	7	1	28	2196	0	0
0.087	13	4	9	8	1	2	133	0	0
0.338	1	1	34	9	1	28	2196	0	0
0.347	1	1	35	8	1	28	2196	0	0
0.052	1	2	6	3	2	28	2196	0	0
0.189	1	3	19	10	1	28	2196	0	0
0.052	2	4	6	3	2	28	2196	0	0
0.339	1	1	34	10	1	28	2196	0	0
0.348	1	1	35	9	1	28	2196	0	0
0.052	3	7	6	3	2	28	2196	0	0
0.821	1	1	83	2	1	28	2196	0	0
0.821	2	2	83	2	1	28	2196	0	0
0.052	4	11	6	3	2	28	2196	0	0
0.349	1	1	35	10	1	28	2196	0	0
0.34	1	1	35	1	1	28	2196	0	0
0.069	1	1	7	10	1	12	597	0	0
0.052	5	14	6	3	2	28	2196	0	0
0.088	1	22	9	9	1	10	469	0	0
0.19	1	1	20	1	2	28	2196	0	0
0.822	1	1	83	3	1	28	2196	0	0
0.088	2	15	9	9	1	12	597	0	0
0.822	2	2	83	3	1	28	2196	0	0
0.069	2	4	7	10	2	14	775	0	0
0.341	1	1	35	2	1	28	2196	0	0
0.052	6	17	6	3	2	28	2196	0	0
0.35	1	1	36	1	1	28	2196	0	0
0.069	3	6	7	10	1	14	775	0	0
0.088	3	17	9	9	1	18	967	0	0
0.088	4	5	9	9	2	16	903	0	0
0.069	4	7	7	10	1	12	597	0	0
0.351	1	1	36	2	1	28	2196	0	0
0.088	6	13	9	9	3	8	421	0	0
0.191	1	2	20	2	3	28	2196	0	0
0.342	1	1	35	3	1	28	2196	0	0
0.069	5	9	7	10	2	10	469	0	0
0.088	7	10	9	9	3	8	421	0	0
0.352	1	1	36	3	1	28	2196	0	0
0.088	8	20	9	9	1	0	81	0	0
0.343	1	1	35	4	1	28	2196	0	0
0.088	9	6	9	9	1	2	133	0	0
0.353	1	1	36	4	1	28	2196	0	0
0.088	10	1	9	9	1	8	421	0	0
0.088	11	2	9	9	1	16	903	0	0
0.192	1	3	20	3	1	28	2196	0	0
0.344	1	1	35	5	1	28	2196	0	0
0.088	12	3	9	9	1	8	421	0	0
0.354	1	1	36	5	1	28	2196	0	0
0.088	13	4	9	9	1	2	133	0	0
0.345	1	1	35	6	1	28	2196	0	0
0.355	1	1	36	6	1	28	2196	0	0
0.193	1	1	20	4	2	28	2196	0	0
0.346	1	1	35	7	1	28	2196	0	0
0.356	1	1	36	7	1	28	2196	0	0
0.347	1	1	35	8	1	28	2196	0	0
0.357	1	1	36	8	1	28	2196	0	0
0.07	1	2	8	1	2	12	597	0	0
0.089	1	18	9	10	2	12	597	0	0
0.194	1	2	20	5	3	28	2196	0	0
0.07	2	3	8	1	1	8	421	0	0
0.348	1	1	35	9	1	28	2196	0	0
0.089	2	14	9	10	2	4	217	0	0
0.358	1	1	36	9	1	28	2196	0	0
0.089	3	16	9	10	2	2	133	0	0
0.07	3	5	8	1	2	8	421	0	0
0.089	4	19	9	10	1	14	775	0	0
0.349	1	1	35	10	1	28	2196	0	0
0.07	4	8	8	1	2	8	421	0	0
0.359	1	1	36	10	1	28	2196	0	0
0.089	6	7	9	10	1	8	421	0	0
0.07	5	10	8	1	1	8	421	0	0
0.195	1	3	20	6	1	28	2196	0	0
0.089	7	9	9	10	2	2	133	0	0
0.053	1	3	6	4	3	28	2196	0	0
0.35	1	1	36	1	1	28	2196	0	0
0.36	1	1	37	1	1	28	2196	0	0
0.089	8	20	9	10	1	0	81	0	0
0.053	2	6	6	4	3	28	2196	0	0
0.089	9	21	9	10	2	0	81	0	0
0.351	1	1	36	2	1	28	2196	0	0
0.089	10	1	9	10	1	8	421	0	0
0.053	3	9	6	4	3	28	2196	0	0
0.089	11	2	9	10	1	16	903	0	0
0.361	1	1	37	2	1	28	2196	0	0
0.089	12	3	9	10	1	8	421	0	0
0.053	4	10	6	4	3	28	2196	0	0
0.196	1	1	20	7	2	28	2196	0	0
0.089	13	4	9	10	1	2	133	0	0
0.352	1	1	36	3	1	28	2196	0	0
0.362	1	1	37	3	1	28	2196	0	0
0.053	5	15	6	4	3	28	2196	0	0
0.353	1	1	36	4	1	28	2196	0	0
0.053	6	18	6	4	3	28	2196	0	0
0.363	1	1	37	4	1	28	2196	0	0
